Section,Checklist Item,Description,점검 결과,구현 근거 (app.py 기준),검증 테스트
,연결 암호화,"운영 환경에서 WSS(SSL/TLS 암호화된 웹소켓)를 사용하여 데이터 전송의 기밀성이 보장되는지 확인",부분 충족 (배포 의존),"CSP connect-src 에 wss: 허용, cors_allowed_origins=[] 로 동일 출처만 허용. 실제 WSS 적용은 HTTPS 리버스 프록시(ngrok/nginx) 배포 시 성립하며 로컬 개발 환경은 ws:",-
,1:1 대화 기밀성,"1대1 채팅 내용이 대화 당사자 외에는 조회/수신되지 않는지 확인",충족,"chat_with() 조회 쿼리를 (본인/상대) 양방향 조합으로 한정. 전송은 broadcast 대신 발신자/수신자 룸으로만 emit",test_cannot_read_other_users_private_chat / test_private_message_is_persisted_and_not_broadcast
안전 거래 및 신고,폼 입력 검증,"신고 대상(target_id) 및 신고 사유(reason)에 대해 서버측 입력 검증, 길이 제한, XSS 방어 적용 여부 확인",충족,"target_id 는 UUID 형식 검증 후 user/product 테이블 실존 확인, reason 은 10~1000자 검증(report)",-
,인증된 사용자 접근,"신고 기능은 반드시 로그인한 사용자만 접근 가능하도록 제어되어 있는지 확인",충족,"@login_required 적용. 자기 자신 신고는 거부",test_self_report_is_rejected
,데이터 무결성 및 로그 관리,"신고 접수 시 올바른 형식의 데이터가 저장되고, 신고 활동이 감사 로그로 기록되는지 확인",충족,"report 테이블에 target_type/created_at 저장. audit() 로 report_create 를 audit_log 에 기록하며 관리자 페이지에서 열람 가능",-
,신고 남용 방지,"동일 사용자의 반복 신고 제한, 신고 건수 제한 및 관리자 검토 프로세스 등 신고 기능 남용 방지 로직이 구현되어 있는지 확인",충족,"UNIQUE(reporter_id, target_id) 인덱스로 중복 신고 차단, 시간당 10건 rate limit. 자동 차단은 서로 다른 신고자 수(COUNT DISTINCT) 기준이며 관리자가 차단 해제 가능",test_duplicate_report_is_rejected / test_product_is_blocked_after_threshold_reports
,악성 유저/상품 차단,"신고 누적 시 상품 차단 및 유저 휴면 전환이 동작하는지 확인",충족,"_apply_report_thresholds() 에서 상품 3인/유저 5인 이상 신고 시 자동 차단/휴면. 휴면 계정은 로그인 차단 및 기존 세션 즉시 무효화",test_product_is_blocked_after_threshold_reports / test_suspended_user_cannot_log_in
송금 및 지갑,금액 검증,"송금액이 정수이며 음수/0 이 아닌지, 상한 범위를 넘지 않는지 서버측에서 검증하는지 확인",충족,"int 변환 실패 시 0 처리 후 1 이상 MAX_TRANSFER 이하만 허용(wallet). 음수 송금으로 잔액을 늘리는 공격 차단",test_transfer_rejects_negative_amount
,거래 원자성 및 경쟁 상태,"동시 요청 시 이중 지출이나 잔액 음수가 발생하지 않도록 트랜잭션이 보장되는지 확인",충족,"BEGIN IMMEDIATE 트랜잭션 내에서 UPDATE ... WHERE balance >= ? 조건부 갱신 후 rowcount 확인. 실패 시 rollback",test_transfer_moves_funds_and_rejects_overdraft
,수신자 검증,"수신자가 실존하며 활성 계정인지, 자기 자신에게 송금하지 않는지 확인",충족,"username 조회 후 is_active 확인, 자기 자신 송금 차단(wallet)",test_transfer_to_self_is_rejected
,거래 기록,"모든 송금이 거래 내역과 감사 로그에 남는지 확인",충족,"transfer 테이블 기록 + 동일 트랜잭션 내 audit_log 기록. 사용자는 /wallet 에서 본인 관련 내역만 조회",-
상품 이미지 업로드,파일 형식 검증,"업로드 파일이 실제 이미지인지 확장자가 아닌 내용으로 검증하는지 확인",충족,"_detect_image() 가 매직 바이트(JPEG FF D8 FF / PNG 89 50 4E 47 / GIF87a·GIF89a)로 실제 형식을 판별. 확장자와 Content-Type 은 클라이언트가 정하므로 신뢰하지 않음",test_disguised_extension_is_rejected
,위험 형식 차단,"스크립트를 내장할 수 있는 형식(SVG, HTML)이 업로드되지 않는지 확인",충족,"화이트리스트 방식으로 JPG/PNG/GIF 만 허용. SVG 는 매직 바이트가 일치하지 않아 거부됨",test_svg_upload_is_rejected
,경로 조작 방지,"파일명에 ../ 나 널 바이트가 포함되어도 의도한 디렉터리를 벗어나지 않는지 확인",충족,"사용자 파일명을 완전히 버리고 UUID + 검증된 확장자로 재생성. 경로 조작·널 바이트·이중 확장자(shell.php.jpg)가 모두 무력화됨",test_path_traversal_filename_is_neutralised
,업로드 크기 제한,"대용량 파일 업로드로 저장소가 고갈되지 않는지 확인",충족,"이미지 3MB(MAX_IMAGE_BYTES), 요청 전체 5MB(MAX_CONTENT_LENGTH) 제한. 읽을 때 상한+1 바이트만 읽어 메모리 고갈도 방지",test_oversized_image_is_rejected
,안전한 서빙,"업로드된 파일이 실행되거나 잘못된 Content-Type 으로 해석되지 않는지 확인",충족,"업로드 파일은 static/ 밖(uploads/)에 저장하여 정적 서빙 대상에서 제외. /product/<id>/image 라우트가 mimetype 을 명시하고 전역 X-Content-Type-Options nosniff 와 함께 동작. 서빙 전 파일명을 IMAGE_NAME_RE 로 재검증",test_valid_image_upload_is_stored_and_served
거래 (에스크로),상태 전이 검증,"거래 상태가 정해진 순서(requested→accepted→completed)로만 변경되는지 확인",충족,"각 전이를 조건부 UPDATE(WHERE id=? AND 권한 AND status=?)의 rowcount 로 검증. 권한·상태·멱등성을 한 번에 보장하며 실패 시 404 와 감사 로그",test_buyer_cannot_accept_own_trade
,정산 권한 분리,"판매자가 스스로 대금을 정산할 수 없는지 확인",충족,"구매 확정(complete_trade)은 buyer_id 조건이 걸려 구매자만 가능. 판매자가 물건 없이 대금을 챙기는 경로를 차단",test_seller_cannot_complete_trade_themselves
,이중 정산 방지,"중복 클릭이나 요청 재전송으로 대금이 두 번 지급되지 않는지 확인",충족,"status='accepted' 조건이 첫 요청에서 소진되므로 두 번째 요청은 rowcount 0 으로 실패. 취소·환불도 동일 구조",test_completing_twice_does_not_pay_seller_twice / test_cancelling_twice_does_not_double_refund
,동시 구매 방지,"한 상품에 대해 두 명이 동시에 거래를 시작할 수 없는지 확인",충족,"BEGIN IMMEDIATE 안에서 UPDATE product SET status='reserved' WHERE status='active' 로 상품을 원자적으로 선점. 조건 불충족 시 rollback 하여 잔액 차감도 취소",test_second_buyer_cannot_take_reserved_product / test_reserved_product_cannot_be_bought_even_if_precheck_bypassed
,에스크로 무결성,"구매 대금이 확정 전까지 판매자에게 지급되지 않고, 취소 시 전액 환불되는지 확인",충족,"구매 요청 시 구매자 잔액에서 차감해 보관하고 판매자 잔액은 변동 없음. 확정 시에만 지급, 취소 시 전액 환불 후 상품을 판매중으로 복귀",test_buy_escrows_funds_and_reserves_product / test_cancel_refunds_buyer_and_reopens_product
,제3자 접근 차단,"거래 당사자가 아닌 사용자가 거래를 조작할 수 없는지 확인",충족,"모든 거래 라우트의 UPDATE 조건에 buyer_id 또는 seller_id 를 포함. 무관한 사용자는 404",test_outsider_cannot_touch_someone_elses_trade
,거래 중 상품 보호,"거래가 진행 중인 상품이 수정·삭제되어 대금이 묶이지 않는지 확인",충족,"status != 'active' 인 상품은 수정 불가. 진행 중 거래가 있으면 삭제 불가. 신고 자동 차단도 status='active' 조건을 걸어 예약중 상품을 건드리지 않음",test_product_in_trade_cannot_be_edited_or_deleted
관리자 기능,권한 검증,"관리자 전용 기능에 일반 사용자가 접근할 수 없는지, 권한이 세션 변조로 상승되지 않는지 확인",충족,"@admin_required 가 세션 값이 아닌 DB 의 is_admin 컬럼을 매 요청 조회. 비관리자는 404 와 함께 admin_access_denied 감사 로그 기록",test_normal_user_cannot_reach_admin_pages
,관리자 계정 부트스트랩,"관리자 계정이 코드에 하드코딩된 자격 증명 없이 안전하게 생성되는지 확인",충족,"_bootstrap_admin() 이 MARKET_ADMIN_USERNAME/PASSWORD 환경 변수가 있을 때만 생성/승격. 일반 회원가입 경로로는 is_admin 획득 불가",-
,관리 작업 제한,"관리자가 자기 자신이나 다른 관리자를 잠가 서비스가 마비되는 상황을 방지하는지 확인",충족,"admin_toggle_user() 에서 본인 계정 및 타 관리자 계정 상태 변경을 거부",test_admin_cannot_suspend_another_admin
전체 시스템,ORM 및 파라미터 바인딩,"SQLAlchemy ORM 및 파라미터 바인딩을 통해 SQL 인젝션 공격에 대한 방어가 제대로 이루어지고 있는지 확인",충족 (ORM 미사용),"sqlite3 표준 라이브러리를 사용하며 ORM 은 도입하지 않음. 대신 모든 쿼리에서 물음표 파라미터 바인딩을 사용하고 문자열 포매팅으로 SQL 을 조립하지 않음. 검색 기능은 LIKE 와일드카드까지 이스케이프",test_search_does_not_allow_sql_injection / test_search_finds_matching_product
,데이터베이스 권한,"데이터베이스 사용자 권한이 최소 권한 원칙에 따라 설정되어 민감 데이터 접근이 제한되어 있는지 확인",부분 충족 (배포 의존),"SQLite 파일 기반이라 DB 계정 권한 개념이 없음. 애플리케이션 계층에서 조회 컬럼을 최소화(view_user 는 password/balance 미조회)하고 .gitignore 로 *.db 를 제외. 운영 시 DB 파일 권한을 600 으로 제한 필요",-
,보안 헤더 설정,"Content-Security-Policy, X-Frame-Options, X-Content-Type-Options 등의 보안 헤더가 적용되어 있는지 확인",충족,"add_security_headers() 에서 CSP, X-Frame-Options DENY, X-Content-Type-Options nosniff, Referrer-Policy, Permissions-Policy, Cache-Control no-store 를 모든 응답에 부착",test_security_headers_are_present
,HTTPS 적용,"운영 환경에서 HTTPS를 사용하여 데이터 전송 시 기밀성 및 무결성이 보장되는지 확인",부분 충족 (배포 의존),"MARKET_HTTPS=1 설정 시 세션 쿠키 Secure 플래그 적용. HSTS 및 TLS 종단은 ngrok/nginx 등 리버스 프록시에서 처리하는 것을 전제",-
,에러 및 예외 처리,"예외 처리 시 민감 정보가 사용자에게 노출되지 않고, 에러 로그에 민감 정보 기록 방지 로직이 구현되어 있는지 확인",충족,"500 핸들러가 고정 메시지만 반환. sqlite3.Error 는 사용자에게 원문 대신 일반 메시지로 변환. audit() 는 비밀번호를 detail 로 받지 않으며 detail 을 500자로 절단",-
,접근 제어 (IDOR),"URL 의 리소스 ID 를 변조하여 타인의 리소스에 접근할 수 없는지 확인",충족,"모든 리소스 ID 를 UUID 형식 검증. 타인 리소스 접근 시 403 대신 404 를 반환해 존재 여부를 은닉하고 product_idor_attempt 감사 로그를 남김",test_cannot_edit_or_delete_other_users_product
,요청 크기 제한,"과도한 크기의 요청으로 인한 자원 고갈이 방지되는지 확인",충족,"MAX_CONTENT_LENGTH 2MB 설정, 초과 시 413 핸들러가 안전한 메시지 반환. 목록 조회 쿼리에 LIMIT 적용",-
,라이브러리 및 의존성 관리,"사용 중인 Flask, SQLAlchemy, Flask-SocketIO 등 라이브러리의 최신 보안 패치 및 업데이트가 적용되어 있는지 정기적으로 점검",충족,"enviroments.yaml 에 메이저 버전만 고정하고 패치는 수용(flask>=3.1<4 등). 직접 import 하는 werkzeug 를 전이 의존성에 의존하지 않고 명시. pip-audit 등으로 주기 점검 권장"
,런타임 버전 관리,"사용 중인 언어 런타임이 보안 지원 기간 내에 있는지 확인",충족(점검 후 수정),"실습 코드의 python=3.9 는 2025-10-31 EOL 로 보안 패치를 받지 못하는 상태였음. 점검 과정에서 발견하여 python=3.13 으로 상향하고 해당 버전에서 전체 테스트를 재검증"
,의존성 채널 신뢰성,"패키지를 받아오는 채널이 라이선스/신뢰성 측면에서 문제가 없는지 확인",충족(점검 후 수정),"conda 의 defaults 채널은 일정 규모 이상 조직에서 상용 라이선스가 필요해 공개 저장소에 부적합. conda-forge 로 변경",-
